task_num,task_id,instruction,libero_plus_id,suite,category,difficulty_level
17,open_the_top_drawer_and_put_the_bowl_inside_table_11,Open the top layer of the drawer and put the bowl inside,,libero_goal,Background/Table Change,L3
18,push_the_plate_to_the_front_of_the_stove_add_14,push the plate to the front of the stove,,libero_goal,Objects Layout,L4
19,put_the_bowl_on_the_plate_moved_level3_sample2,put the bowl on the plate,,libero_goal,Objects Layout,L4
20,put_the_bowl_on_the_stove_view_0_0_100_8_2_initstate_0,Put the bowl on the stove,,libero_goal,Camera Viewpoints,L5
21,put_the_bowl_on_top_of_the_cabinet_view_0_0_100_3_9_initstate_0,Put the bowl on the top of the drawer,,libero_goal,Camera Viewpoints,L5
22,put_the_wine_bottle_on_the_rack_view_0_0_100_0_0_initstate_94,Put the wine bottle on the rack,,libero_goal,Robot Initial States,L3
23,put_the_wine_bottle_on_top_of_the_cabinet_view_0_0_100_0_0_initstate_0_noise_33,Put the wine bottle on the top of the drawer,,libero_goal,Sensor Noise,L3
24,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_language_21,Lift the darkhued rounded food container from the middle of the eating surface and set it onto the flat dish,,libero_spatial,Language Paraphrase,L3
25,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_table_9,Pick the akita black bowl in the top layer of the wooden cabinet and place it on the plate,,libero_spatial,Background/Table Change,L3
26,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_level2_sample3,pick the akita black bowl next to the cookies box and place it on the plate,,libero_spatial,Objects Layout,L4
27,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_view_0_0_100_7_5_initstate_0,Pick the akita black bowl next to the plate and place it on the plate,,libero_spatial,Camera Viewpoints,L5
28,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_142,Pick the akita black bowl next to the ramekin and place it on the plate,,libero_spatial,Robot Initial States,L4
29,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_183,Pick the akita black bowl on the stove and place it on the plate,,libero_spatial,Robot Initial States,L4
30,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_view_0_0_100_0_0_initstate_0_noise_45,Pick the akita black bowl on the wooden cabinet and place it on the plate,,libero_spatial,Sensor Noise,L4
31,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_language_17,Could you get the moka pot heating up on the stove please,,libero_10,Language Paraphrase,L3
32,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_light_8,put the black bowl in the bottom drawer of the cabinet and close it,,libero_10,Lighting Change,L3
33,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_add_5,put the yellow and white mug in the microwave and close it,,libero_10,Objects Layout,L4
34,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_level4_sample1,put both moka pots on the stove,,libero_10,Objects Layout,L5
35,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_language_3,Before we leave remember to put the alphabet soup and cream cheese box in the basket,,libero_10,Language Paraphrase,L3
36,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_view_0_0_100_4_8_initstate_0,put both the alphabet soup and the tomato sauce in the basket,,libero_10,Camera Viewpoints,L5
37,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_view_0_0_100_9_6_initstate_0,put both the cream cheese box and the butter in the basket,,libero_10,Camera Viewpoints,L5
38,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_view_0_0_100_0_0_initstate_67,put the white mug on the left plate and put the yellow and white mug on the right plate,,libero_10,Robot Initial States,L3
39,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_view_0_0_100_0_0_initstate_0_noise_15,put the white mug on the plate and put the chocolate pudding to the right of the plate,,libero_10,Sensor Noise,L4
40,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_view_0_0_100_0_0_initstate_0_noise_22,pick up the book and place it in the back compartment of the caddy,,libero_10,Sensor Noise,L3
